direction,latitude,longitude,error
"1 Lansdowne St, Boston, MA 02215-3412",42.3473311,-71.0945338,False
"111 Dartmouth St, Boston, MA 02116-5134",42.3464338,-71.0753432,False
"108 Blackstone St, Boston, MA 02109-1506",42.3616934,-71.0565718,False
"412 W Broadway, Boston, MA 02127-2215",42.3370536,-71.0477128,False
"867 Boylston St, Boston, MA 02116-2774",42.3486678,-71.0834071,False
"115 Salem St, Boston, MA 02113-1769",42.364434,-71.055414,False
"20 Charles St, Boston, MA 02114-4602",42.3565533,-71.0694213,False
"553 Tremont St, Boston, MA 02116-6306",42.343996,-71.07174,False
"21 Merchants Row, Boston, MA 02109-2005",42.359431,-71.055596,False
"10 Huntington Ave, Boston, MA 02116-5707",42.3485752,-71.0772032,False
"47 Massachusetts Ave, Boston, MA 02115-1400",42.34984945,-71.08925272656501,False
"67 Main St Charlestown, Boston, MA 02129-3738",42.3736375,-71.062397,False
"Seaport Avenue, Boston, MA",42.3502036,-71.0427412,False
"1024 Massachusetts Ave, Boston, MA 02118-2606",42.327034850000004,-71.06678790696566,False
