name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"McGreevy's, Boston","911 Boylston St, Boston, MA 02115-3104",(289),106,109,37,11,11,$$ - $$$,American,Irish,Bar
"Orinoco: A Latin Kitchen, Boston","477 Shawmut Ave, Boston, MA 02118-3838",(171),96,44,14,3,3,$$ - $$$,Latin,Spanish,Venezuelan
"Donna's Restaurant, Boston","980 Saratoga St, Boston, MA 02128-1142",(74),43,25,2,0,0,$,American,Diner,Vegetarian Friendly
"Troquet, Boston","Troquet on South 107 South Street, Boston, MA 0211",(195),112,52,15,7,5,$$$$,French,Vegetarian Friendly,Vegan Options
"Sonsie, Boston","327 Newbury St, Boston, MA 02115-2710",(664),210,262,96,40,23,$$ - $$$,American,Bar,International
"Beantown Pub, Boston","100 Tremont St, Boston, MA 02108-5001",(745),233,306,117,28,30,$$ - $$$,American,Bar,Pub
"Solas Irish Pub, Boston","710 Boylston Street at Lenox Hotel, Boston, MA 02116",(519),160,200,82,23,14,$$ - $$$,Irish,Bar,Pub
"Strega Italiano Seaport, Boston","56 Northern Ave One Marina Park Drive, Boston, MA 02210-1862",(488),209,124,91,40,14,$$$$,Italian,Steakhouse,Seafood
"Panificio Bistro & Bakery, Boston","144 Charles St, Boston, MA 02114-3253",(240),82,92,31,7,7,$$ - $$$,American,Vegetarian Friendly,
"Dolce Vita Ristorante, Boston","221 Hanover St, Boston, MA 02113-2309",(483),229,119,48,27,38,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"The Ginger Man, Boston","148 State St, Boston, MA 02109-2506",(65),40,22,2,0,0,$$ - $$$,Brew Pub,Bar,Pub
"Tatte Bakery & Cafe, Boston","399 Boylston St, Boston, MA 02116-3305",(97),55,21,2,4,2,$$ - $$$,Quick Bites,Cafe,Vegetarian Friendly
"Amrheins Restaurant, Boston","80 W Broadway, Boston, MA 02127-1018",(231),96,100,13,10,9,$$ - $$$,American,Bar,Vegetarian Friendly
